Length of List|Bubble|Selection|Insertion
20|92|18|17
80|1454|76|76
180|8365|179|176
320|25877|315|317
500|62818|488|491
720|128471|713|713
980|242872|974|971
1280|418663|1271|1272
1620|659306|1612|1609
2000|997687|1995|1992
2420|1485739|2413|2407
2880|2076466|2874|2868
3380|2830080|3370|3372
3920|3845792|3904|3911
4500|5111415|4487|4488
5120|6449289|5107|5109
5780|8356813|5769|5773
6480|10543265|6471|6467
7220|12972092|7210|7205
8000|16101297|7989|7993
8820|19535456|8812|8810
9680|23435314|9670|9664
10580|28044286|10574|10572
11520|33364567|11509|11511
12500|38764940|12490|12490
13520|45657169|13513|13515
14580|53509087|14569|14569
15680|61126004|15670|15666
16820|70856592|16812|16808
18000|81376101|17991|17993
